Capacity_Percent,Method,Patients_Selected,Readmissions_Captured,Capture_Rate,Lift_vs_Random
5,Risk Only,4968,1665,0.1471628071415945,2.9432561428318897
5,Medication Complexity Only,4968,671,0.059307053208414354,1.186141064168287
5,Combined RxReview,4968,1625,0.14362736432738202,2.8725472865476402
10,Risk Only,9935,2723,0.2406752695775146,2.406752695775146
10,Medication Complexity Only,9935,1357,0.11993989747215839,1.1993989747215839
10,Combined RxReview,9935,2644,0.23369277001944494,2.3369277001944493
15,Risk Only,14902,3660,0.3234930175004419,2.156620116669613
15,Medication Complexity Only,14902,2063,0.18234046314300867,1.2156030876200579
15,Combined RxReview,14902,3565,0.3150963408166873,2.1006422721112488
20,Risk Only,19869,4493,0.39711861410641686,1.9855930705320841
20,Medication Complexity Only,19869,2797,0.24721583878380768,1.2360791939190383
20,Combined RxReview,19869,4385,0.38757291850804315,1.9378645925402156
