Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Brier_Score
Logistic Regression,1,0.6694390911857186,0.17618905174992522,0.5383912248628885,0.26549470362857785,0.6666774430044706,0.21495917052550642,0.22494065299219904
Logistic Regression,2,0.6616103269877944,0.1770091556459817,0.5314136125654451,0.26556197536247683,0.6551653760185827,0.21334666716973597,0.2266191343609308
Logistic Regression,3,0.6772107479446561,0.1874062968515742,0.5509034817100044,0.2796733415370847,0.6671868137856611,0.21629361203515765,0.22453836781238767
Logistic Regression,4,0.6648802965040569,0.18434633027522937,0.5623087013554875,0.2776638238151787,0.6652283459635917,0.2117959104884438,0.22645437133749854
Logistic Regression,5,0.6687708312291688,0.18321740417344975,0.543459174714662,0.2740453790813503,0.6654224012662229,0.220903645773241,0.22495584386226183
Random Forest,1,0.8717922710214018,0.3232848232848233,0.14213893967093236,0.19746031746031745,0.676092303504778,0.22334543073477053,0.13445346273230074
Random Forest,2,0.8659400271234116,0.3050672182006205,0.12870855148342059,0.18103712795335994,0.6659666100717209,0.21915545513341134,0.13685459440506637
Random Forest,3,0.8693102065369962,0.31905781584582443,0.13133539003966505,0.18607555416796753,0.6732697804046808,0.22698162063858682,0.13554461321648523
Random Forest,4,0.8649203646198538,0.30947955390334575,0.14560559685177088,0.19803746654772525,0.6757830882581175,0.22509887373062165,0.1363118477295419
Random Forest,5,0.8672861327138673,0.31422505307855625,0.1299385425812116,0.18385093167701863,0.6749960771220764,0.22617598486946083,0.13586058382061328
XGBoost,1,0.670605538087027,0.18400586940572267,0.573126142595978,0.2785738087304232,0.6760719414406852,0.22972787213211837,0.21363790716649123
XGBoost,2,0.6691446079662464,0.18608390586171614,0.5554101221640488,0.2787692981495675,0.6684728904464304,0.22947384943636379,0.21381134639202523
XGBoost,3,0.6726488871064769,0.1887509130752374,0.5694138386954606,0.28351985955672593,0.6766115978822272,0.23458802519667069,0.21361553573610728
XGBoost,4,0.6692377040969648,0.1878524945770065,0.5679930039352864,0.28232992827646164,0.673293727945772,0.2276870730701369,0.21520097459476747
XGBoost,5,0.6769518230481769,0.1921064434145612,0.564091308165057,0.2866064458570313,0.6809149258541003,0.23221021264161962,0.212397416082986
