Capacity_pct,Patients_reviewed,Readmissions_captured,Total_readmissions,Capture_rate,Precision_at_capacity,Lift,Method
5.0,4968,1665,11314,0.1471628071415945,0.3351449275362319,2.9432561428318897,Readmission Risk Only
10.0,9935,2723,11314,0.2406752695775146,0.27408152994464013,2.406752695775146,Readmission Risk Only
15.0,14902,3660,11314,0.3234930175004419,0.2456046168299557,2.156620116669613,Readmission Risk Only
20.0,19869,4493,11314,0.39711861410641686,0.22613115909205295,1.9855930705320841,Readmission Risk Only
5.0,4968,671,11314,0.059307053208414354,0.13506441223832527,1.186141064168287,Medication Complexity Only
10.0,9935,1357,11314,0.11993989747215839,0.1365878208354303,1.1993989747215839,Medication Complexity Only
15.0,14902,2063,11314,0.18234046314300867,0.13843779358475372,1.2156030876200579,Medication Complexity Only
20.0,19869,2797,11314,0.24721583878380768,0.1407720569731743,1.2360791939190383,Medication Complexity Only
5.0,4968,1625,11314,0.14362736432738202,0.32709339774557167,2.8725472865476402,RxReview Combined Score
10.0,9935,2644,11314,0.23369277001944494,0.2661298439859084,2.3369277001944493,RxReview Combined Score
15.0,14902,3565,11314,0.3150963408166873,0.23922963360622734,2.1006422721112488,RxReview Combined Score
20.0,19869,4385,11314,0.38757291850804315,0.2206955558910866,1.9378645925402156,RxReview Combined Score
