Capacity_pct,Effectiveness_pct,Patients_reviewed,Readmissions_captured,Avoided_readmissions,Intervention_cost,Net_value
5.0,10.0,4968,1625,40.625,186300.0,423075.0
5.0,20.0,4968,1625,81.25,186300.0,1032450.0
5.0,30.0,4968,1625,121.875,186300.0,1641825.0
5.0,40.0,4968,1625,162.5,186300.0,2251200.0
10.0,10.0,9935,2644,66.10000000000001,372562.5,618937.5000000001
10.0,20.0,9935,2644,132.20000000000002,372562.5,1610437.5000000002
10.0,30.0,9935,2644,198.29999999999998,372562.5,2601937.4999999995
10.0,40.0,9935,2644,264.40000000000003,372562.5,3593437.5000000005
15.0,10.0,14902,3565,89.125,558825.0,778050.0
15.0,20.0,14902,3565,178.25,558825.0,2114925.0
15.0,30.0,14902,3565,267.375,558825.0,3451800.0
15.0,40.0,14902,3565,356.5,558825.0,4788675.0
20.0,10.0,19869,4385,109.625,745087.5,899287.5
20.0,20.0,19869,4385,219.25,745087.5,2543662.5
20.0,30.0,19869,4385,328.875,745087.5,4188037.5
20.0,40.0,19869,4385,438.5,745087.5,5832412.5
