feature,importance
cat__discharge_disposition_id_1,0.060490422
num__number_inpatient,0.047093313
cat__discharge_disposition_id_22,0.021796491
cat__diabetesMed_Yes,0.012949368
cat__discharge_disposition_id_3,0.012778183
cat__diag_1_group_Musculoskeletal,0.010517501
cat__discharge_disposition_id_5,0.009422307
num__number_emergency,0.009232521
cat__discharge_disposition_id_2,0.008978947
cat__diag_1_group_Circulatory,0.00887254
cat__diag_1_group_Mental disorders,0.0085154
cat__diag_3_group_Neoplasms,0.008473775
cat__discharge_disposition_id_6,0.007655112
num__number_diagnoses,0.0076493956
cat__diag_2_group_Neoplasms,0.0076392977
cat__discharge_disposition_id_23,0.0075001693
cat__age_[50-60),0.00748438
cat__discharge_disposition_id_28,0.007477733
cat__metformin_Steady,0.007358076
cat__admission_type_id_6,0.007233697
cat__diabetesMed_No,0.0071521294
cat__diag_1_group_Supplementary,0.006963053
cat__medical_specialty_grouped_Orthopedics-Reconstructive,0.0068929936
cat__insulin_No,0.0068441224
cat__medical_specialty_grouped_Surgery-General,0.006371028
cat__admission_source_id_7,0.0061299675
cat__age_[90-100),0.006060345
cat__metformin_No,0.006007303
cat__diag_1_group_Respiratory,0.00596668
cat__medical_specialty_grouped_Cardiology,0.0059453445
cat__diag_1_group_Pregnancy,0.0059318207
num__active_diabetes_meds,0.0058934307
num__diabetes_med_changes,0.005728273
cat__discharge_disposition_id_25,0.005690976
cat__payer_code_MC,0.0056844656
cat__payer_code_Unknown,0.0056428234
cat__discharge_disposition_id_15,0.005567383
cat__insulin_Down,0.0055671097
num__time_in_hospital,0.005548978
cat__race_Hispanic,0.0055259173
cat__race_Asian,0.005423557
cat__A1Cresult_>8,0.0054208757
cat__diag_2_group_Pregnancy,0.0054017897
cat__race_Unknown,0.0053952727
cat__max_glu_serum_NotMeasured,0.0053927014
cat__diag_3_group_Genitourinary,0.005368541
cat__pioglitazone_Up,0.005329669
cat__medical_specialty_grouped_InternalMedicine,0.005322695
cat__admission_source_id_17,0.0053149094
cat__payer_code_SP,0.005215579
cat__diag_1_group_Diabetes,0.005181092
cat__diag_3_group_Supplementary,0.005068888
cat__discharge_disposition_id_18,0.004989181
cat__age_[20-30),0.00498378
cat__payer_code_BC,0.0049543143
cat__age_[80-90),0.004947248
cat__admission_type_id_2,0.0049384506
cat__A1Cresult_NotMeasured,0.0048600878
cat__gender_Male,0.0048502693
num__num_procedures,0.004839414
cat__medical_specialty_grouped_Other,0.0047840057
cat__discharge_disposition_id_7,0.0047646314
num__num_medications,0.004749395
cat__glipizide_Steady,0.004737015
